country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
Antigua and Barbuda,2012,female,15-24 years,0,8435,0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
Antigua and Barbuda,2012,female,25-34 years,0,7215,0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
Antigua and Barbuda,2012,female,35-54 years,0,15193,0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation X
Antigua and Barbuda,2012,female,5-14 years,0,8401,0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation Z
Antigua and Barbuda,2012,female,55-74 years,0,5512,0,Antigua and Barbuda2012,0.781,1211411704,13657,Boomers
Antigua and Barbuda,2012,female,75+ years,0,1625,0,Antigua and Barbuda2012,0.781,1211411704,13657,Silent
Antigua and Barbuda,2012,male,15-24 years,0,7893,0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
Antigua and Barbuda,2012,male,25-34 years,0,6629,0,Antigua and Barbuda2012,0.781,1211411704,13657,Millenials
Antigua and Barbuda,2012,male,35-54 years,0,13280,0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation X
Antigua and Barbuda,2012,male,5-14 years,0,8475,0,Antigua and Barbuda2012,0.781,1211411704,13657,Generation Z
Antigua and Barbuda,2012,male,55-74 years,0,4994,0,Antigua and Barbuda2012,0.781,1211411704,13657,Boomers
Antigua and Barbuda,2012,male,75+ years,0,1051,0,Antigua and Barbuda2012,0.781,1211411704,13657,Silent
Argentina,2012,male,75+ years,225,688560,32.68,Argentina2012,0.831,545982375701,14203,Silent
Argentina,2012,male,15-24 years,745,3480902,21.4,Argentina2012,0.831,545982375701,14203,Millenials
Argentina,2012,male,25-34 years,616,3268154,18.85,Argentina2012,0.831,545982375701,14203,Millenials
Argentina,2012,male,55-74 years,451,2839783,15.88,Argentina2012,0.831,545982375701,14203,Boomers
Argentina,2012,male,35-54 years,554,4841057,11.44,Argentina2012,0.831,545982375701,14203,Generation X
Argentina,2012,female,15-24 years,204,3380770,6.03,Argentina2012,0.831,545982375701,14203,Millenials
Argentina,2012,female,35-54 years,164,4993138,3.28,Argentina2012,0.831,545982375701,14203,Generation X
Argentina,2012,female,55-74 years,108,3328463,3.24,Argentina2012,0.831,545982375701,14203,Boomers
Argentina,2012,female,25-34 years,102,3228400,3.16,Argentina2012,0.831,545982375701,14203,Millenials
Argentina,2012,female,75+ years,33,1282726,2.57,Argentina2012,0.831,545982375701,14203,Silent
Argentina,2012,male,5-14 years,29,3615254,0.8,Argentina2012,0.831,545982375701,14203,Generation Z
Argentina,2012,female,5-14 years,17,3494571,0.49,Argentina2012,0.831,545982375701,14203,Generation Z
Armenia,2012,male,75+ years,5,56598,8.83,Armenia2012,0.728,10619320049,3773,Silent
Armenia,2012,male,35-54 years,26,376743,6.9,Armenia2012,0.728,10619320049,3773,Generation X
Armenia,2012,male,55-74 years,11,212482,5.18,Armenia2012,0.728,10619320049,3773,Boomers
Armenia,2012,male,25-34 years,11,245443,4.48,Armenia2012,0.728,10619320049,3773,Millenials
Armenia,2012,female,75+ years,3,91237,3.29,Armenia2012,0.728,10619320049,3773,Silent
Armenia,2012,male,15-24 years,5,255119,1.96,Armenia2012,0.728,10619320049,3773,Millenials
Armenia,2012,female,35-54 years,7,428953,1.63,Armenia2012,0.728,10619320049,3773,Generation X
Armenia,2012,female,25-34 years,4,259768,1.54,Armenia2012,0.728,10619320049,3773,Millenials
Armenia,2012,female,55-74 years,4,273394,1.46,Armenia2012,0.728,10619320049,3773,Boomers
Armenia,2012,female,15-24 years,2,255088,0.78,Armenia2012,0.728,10619320049,3773,Millenials
Armenia,2012,male,5-14 years,1,192409,0.52,Armenia2012,0.728,10619320049,3773,Generation Z
Armenia,2012,female,5-14 years,0,167066,0,Armenia2012,0.728,10619320049,3773,Generation Z
Australia,2012,male,75+ years,158,606842,26.04,Australia2012,0.932,1543411012580,72669,Silent
Australia,2012,male,35-54 years,802,3098534,25.88,Australia2012,0.932,1543411012580,72669,Generation X
Australia,2012,male,25-34 years,351,1657638,21.17,Australia2012,0.932,1543411012580,72669,Millenials
Australia,2012,male,55-74 years,396,2162980,18.31,Australia2012,0.932,1543411012580,72669,Boomers
Australia,2012,male,15-24 years,217,1579672,13.74,Australia2012,0.932,1543411012580,72669,Millenials
Australia,2012,female,35-54 years,258,3149749,8.19,Australia2012,0.932,1543411012580,72669,Generation X
Australia,2012,female,15-24 years,109,1503934,7.25,Australia2012,0.932,1543411012580,72669,Millenials
Australia,2012,female,75+ years,52,832122,6.25,Australia2012,0.932,1543411012580,72669,Silent
Australia,2012,female,25-34 years,98,1630077,6.01,Australia2012,0.932,1543411012580,72669,Millenials
Australia,2012,female,55-74 years,123,2206179,5.58,Australia2012,0.932,1543411012580,72669,Boomers
Australia,2012,female,5-14 years,10,1368580,0.73,Australia2012,0.932,1543411012580,72669,Generation Z
Australia,2012,male,5-14 years,6,1442602,0.42,Australia2012,0.932,1543411012580,72669,Generation Z
Austria,2012,male,75+ years,189,250032,75.59,Austria2012,0.884,409425234155,50979,Silent
Austria,2012,male,55-74 years,298,874391,34.08,Austria2012,0.884,409425234155,50979,Boomers
Austria,2012,male,35-54 years,332,1286522,25.81,Austria2012,0.884,409425234155,50979,Generation X
Austria,2012,male,25-34 years,99,553047,17.9,Austria2012,0.884,409425234155,50979,Millenials
Austria,2012,female,75+ years,76,430436,17.66,Austria2012,0.884,409425234155,50979,Silent
Austria,2012,male,15-24 years,66,519503,12.7,Austria2012,0.884,409425234155,50979,Millenials
Austria,2012,female,55-74 years,99,962372,10.29,Austria2012,0.884,409425234155,50979,Boomers
Austria,2012,female,35-54 years,87,1283769,6.78,Austria2012,0.884,409425234155,50979,Generation X
Austria,2012,female,25-34 years,20,547787,3.65,Austria2012,0.884,409425234155,50979,Millenials
Austria,2012,female,15-24 years,6,497838,1.21,Austria2012,0.884,409425234155,50979,Millenials
Austria,2012,male,5-14 years,3,422849,0.71,Austria2012,0.884,409425234155,50979,Generation Z
Austria,2012,female,5-14 years,1,402730,0.25,Austria2012,0.884,409425234155,50979,Generation Z
Bahamas,2012,male,15-24 years,2,32716,6.11,Bahamas2012,0.783,10720500000,31204,Millenials
Bahamas,2012,male,35-54 years,2,51466,3.89,Bahamas2012,0.783,10720500000,31204,Generation X
Bahamas,2012,female,35-54 years,1,54245,1.84,Bahamas2012,0.783,10720500000,31204,Generation X
Bahamas,2012,female,15-24 years,0,32430,0,Bahamas2012,0.783,10720500000,31204,Millenials
Bahamas,2012,female,25-34 years,0,29909,0,Bahamas2012,0.783,10720500000,31204,Millenials
Bahamas,2012,female,5-14 years,0,25670,0,Bahamas2012,0.783,10720500000,31204,Generation Z
Bahamas,2012,female,55-74 years,0,27444,0,Bahamas2012,0.783,10720500000,31204,Boomers
Bahamas,2012,female,75+ years,0,6463,0,Bahamas2012,0.783,10720500000,31204,Silent
Bahamas,2012,male,25-34 years,0,29740,0,Bahamas2012,0.783,10720500000,31204,Millenials
Bahamas,2012,male,5-14 years,0,26675,0,Bahamas2012,0.783,10720500000,31204,Generation Z
Bahamas,2012,male,55-74 years,0,23216,0,Bahamas2012,0.783,10720500000,31204,Boomers
Bahamas,2012,male,75+ years,0,3584,0,Bahamas2012,0.783,10720500000,31204,Silent
Bahrain,2012,male,25-34 years,11,237133,4.64,Bahrain2012,0.819,30749308511,25587,Millenials
Bahrain,2012,male,35-54 years,6,268027,2.24,Bahrain2012,0.819,30749308511,25587,Generation X
Bahrain,2012,female,25-34 years,1,110796,0.9,Bahrain2012,0.819,30749308511,25587,Millenials
Bahrain,2012,male,15-24 years,1,111603,0.9,Bahrain2012,0.819,30749308511,25587,Millenials
Bahrain,2012,female,15-24 years,0,81091,0,Bahrain2012,0.819,30749308511,25587,Millenials
Bahrain,2012,female,35-54 years,0,135976,0,Bahrain2012,0.819,30749308511,25587,Generation X
Bahrain,2012,female,5-14 years,0,81275,0,Bahrain2012,0.819,30749308511,25587,Generation Z
Bahrain,2012,female,55-74 years,0,31641,0,Bahrain2012,0.819,30749308511,25587,Boomers
Bahrain,2012,female,75+ years,0,4548,0,Bahrain2012,0.819,30749308511,25587,Silent
Bahrain,2012,male,5-14 years,0,85538,0,Bahrain2012,0.819,30749308511,25587,Generation Z
Bahrain,2012,male,55-74 years,0,50001,0,Bahrain2012,0.819,30749308511,25587,Boomers
Bahrain,2012,male,75+ years,0,4149,0,Bahrain2012,0.819,30749308511,25587,Silent
Barbados,2012,female,15-24 years,0,18575,0,Barbados2012,0.793,4656350000,17620,Millenials
Barbados,2012,female,25-34 years,0,19421,0,Barbados2012,0.793,4656350000,17620,Millenials
Barbados,2012,female,35-54 years,0,42921,0,Barbados2012,0.793,4656350000,17620,Generation X
Barbados,2012,female,5-14 years,0,18436,0,Barbados2012,0.793,4656350000,17620,Generation Z
Barbados,2012,female,55-74 years,0,28473,0,Barbados2012,0.793,4656350000,17620,Boomers
Barbados,2012,female,75+ years,0,10166,0,Barbados2012,0.793,4656350000,17620,Silent
Barbados,2012,male,15-24 years,0,18579,0,Barbados2012,0.793,4656350000,17620,Millenials
Barbados,2012,male,25-34 years,0,18523,0,Barbados2012,0.793,4656350000,17620,Millenials
Barbados,2012,male,35-54 years,0,39060,0,Barbados2012,0.793,4656350000,17620,Generation X
Barbados,2012,male,5-14 years,0,19402,0,Barbados2012,0.793,4656350000,17620,Generation Z
Barbados,2012,male,55-74 years,0,24339,0,Barbados2012,0.793,4656350000,17620,Boomers
Barbados,2012,male,75+ years,0,6375,0,Barbados2012,0.793,4656350000,17620,Silent
Belgium,2012,male,75+ years,191,369145,51.74,Belgium2012,0.889,497884216569,47678,Silent
Belgium,2012,male,35-54 years,617,1588342,38.85,Belgium2012,0.889,497884216569,47678,Generation X
Belgium,2012,male,55-74 years,381,1125706,33.85,Belgium2012,0.889,497884216569,47678,Boomers
