country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
Antigua and Barbuda,2015,female,55-74 years,1,6403,15.62,Antigua and Barbuda2015,NA,1364863037,14853,Boomers
Antigua and Barbuda,2015,female,15-24 years,0,8561,0,Antigua and Barbuda2015,NA,1364863037,14853,Millenials
Antigua and Barbuda,2015,female,25-34 years,0,7740,0,Antigua and Barbuda2015,NA,1364863037,14853,Millenials
Antigua and Barbuda,2015,female,35-54 years,0,15323,0,Antigua and Barbuda2015,NA,1364863037,14853,Generation X
Antigua and Barbuda,2015,female,5-14 years,0,8239,0,Antigua and Barbuda2015,NA,1364863037,14853,Generation Z
Antigua and Barbuda,2015,female,75+ years,0,1724,0,Antigua and Barbuda2015,NA,1364863037,14853,Silent
Antigua and Barbuda,2015,male,15-24 years,0,8331,0,Antigua and Barbuda2015,NA,1364863037,14853,Millenials
Antigua and Barbuda,2015,male,25-34 years,0,7059,0,Antigua and Barbuda2015,NA,1364863037,14853,Millenials
Antigua and Barbuda,2015,male,35-54 years,0,13370,0,Antigua and Barbuda2015,NA,1364863037,14853,Generation X
Antigua and Barbuda,2015,male,5-14 years,0,8268,0,Antigua and Barbuda2015,NA,1364863037,14853,Generation Z
Antigua and Barbuda,2015,male,55-74 years,0,5784,0,Antigua and Barbuda2015,NA,1364863037,14853,Boomers
Antigua and Barbuda,2015,male,75+ years,0,1087,0,Antigua and Barbuda2015,NA,1364863037,14853,Silent
Argentina,2015,male,75+ years,245,712691,34.38,Argentina2015,NA,594749285413,14981,Silent
Argentina,2015,male,15-24 years,656,3500580,18.74,Argentina2015,NA,594749285413,14981,Millenials
Argentina,2015,male,55-74 years,431,3011963,14.31,Argentina2015,NA,594749285413,14981,Boomers
Argentina,2015,male,25-34 years,465,3289927,14.13,Argentina2015,NA,594749285413,14981,Millenials
Argentina,2015,male,35-54 years,633,5166179,12.25,Argentina2015,NA,594749285413,14981,Generation X
Argentina,2015,female,15-24 years,153,3394201,4.51,Argentina2015,NA,594749285413,14981,Millenials
Argentina,2015,female,55-74 years,125,3520779,3.55,Argentina2015,NA,594749285413,14981,Boomers
Argentina,2015,female,25-34 years,114,3235582,3.52,Argentina2015,NA,594749285413,14981,Millenials
Argentina,2015,female,35-54 years,166,5301368,3.13,Argentina2015,NA,594749285413,14981,Generation X
