country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
Antigua and Barbuda,2013,female,15-24 years,0,8494,0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
Antigua and Barbuda,2013,female,25-34 years,0,7397,0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
Antigua and Barbuda,2013,female,35-54 years,0,15236,0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation X
Antigua and Barbuda,2013,female,5-14 years,0,8353,0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation Z
Antigua and Barbuda,2013,female,55-74 years,0,5787,0,Antigua and Barbuda2013,0.781,1192925407,13287,Boomers
Antigua and Barbuda,2013,female,75+ years,0,1652,0,Antigua and Barbuda2013,0.781,1192925407,13287,Silent
Antigua and Barbuda,2013,male,15-24 years,0,8061,0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
Antigua and Barbuda,2013,male,25-34 years,0,6782,0,Antigua and Barbuda2013,0.781,1192925407,13287,Millenials
Antigua and Barbuda,2013,male,35-54 years,0,13302,0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation X
Antigua and Barbuda,2013,male,5-14 years,0,8405,0,Antigua and Barbuda2013,0.781,1192925407,13287,Generation Z
Antigua and Barbuda,2013,male,55-74 years,0,5238,0,Antigua and Barbuda2013,0.781,1192925407,13287,Boomers
Antigua and Barbuda,2013,male,75+ years,0,1072,0,Antigua and Barbuda2013,0.781,1192925407,13287,Silent
Argentina,2013,male,75+ years,168,699046,24.03,Argentina2013,0.833,552025140252,14206,Silent
Argentina,2013,male,15-24 years,696,3486661,19.96,Argentina2013,0.833,552025140252,14206,Millenials
Argentina,2013,male,25-34 years,499,3271373,15.25,Argentina2013,0.833,552025140252,14206,Millenials
Argentina,2013,male,55-74 years,398,2894129,13.75,Argentina2013,0.833,552025140252,14206,Boomers
Argentina,2013,male,35-54 years,604,4950850,12.2,Argentina2013,0.833,552025140252,14206,Generation X
Argentina,2013,female,15-24 years,167,3384642,4.93,Argentina2013,0.833,552025140252,14206,Millenials
Argentina,2013,female,25-34 years,102,3226464,3.16,Argentina2013,0.833,552025140252,14206,Millenials
Argentina,2013,female,35-54 years,157,5099167,3.08,Argentina2013,0.833,552025140252,14206,Generation X
Argentina,2013,female,55-74 years,102,3390673,3.01,Argentina2013,0.833,552025140252,14206,Boomers
Argentina,2013,female,75+ years,29,1303352,2.23,Argentina2013,0.833,552025140252,14206,Silent
Argentina,2013,female,5-14 years,32,3515742,0.91,Argentina2013,0.833,552025140252,14206,Generation Z
Argentina,2013,male,5-14 years,33,3637026,0.91,Argentina2013,0.833,552025140252,14206,Generation Z
Armenia,2013,male,75+ years,7,58640,11.94,Armenia2013,0.731,11121465767,3957,Silent
Armenia,2013,female,75+ years,6,95093,6.31,Armenia2013,0.731,11121465767,3957,Silent
Armenia,2013,male,55-74 years,11,218063,5.04,Armenia2013,0.731,11121465767,3957,Boomers
Armenia,2013,female,55-74 years,11,280566,3.92,Armenia2013,0.731,11121465767,3957,Boomers
